"customer_id","first_name","last_name","rental_id","movie_title","store_id"
148,"Eleanor","Hunt",682,"Prejudice Oleander",1
148,"Eleanor","Hunt",1501,"Gun Bonnie",1
148,"Eleanor","Hunt",1517,"Snatchers Montezuma",1
148,"Eleanor","Hunt",2751,"English Bulworth",2
148,"Eleanor","Hunt",2843,"Forward Temple",2
148,"Eleanor","Hunt",2847,"Egypt Tenenbaums",2
148,"Eleanor","Hunt",3653,"Majestic Floats",2
148,"Eleanor","Hunt",4080,"Family Sweet",1
148,"Eleanor","Hunt",4746,"Arizona Bang",2
148,"Eleanor","Hunt",4950,"Remember Diary",2
148,"Eleanor","Hunt",5034,"Bird Independence",2
148,"Eleanor","Hunt",5372,"Secret Groundhog",2
148,"Eleanor","Hunt",6169,"Music Boondock",2
148,"Eleanor","Hunt",6640,"Name Detective",1
148,"Eleanor","Hunt",6793,"American Circus",1
148,"Eleanor","Hunt",7656,"Armageddon Lost",2
148,"Eleanor","Hunt",7693,"Madigan Dorado",1
148,"Eleanor","Hunt",7865,"Lady Stage",2
148,"Eleanor","Hunt",8111,"Quills Bull",2
148,"Eleanor","Hunt",8331,"Affair Prejudice",1
148,"Eleanor","Hunt",8394,"Strictly Scarface",2
148,"Eleanor","Hunt",8578,"Soldiers Evolution",1
148,"Eleanor","Hunt",8626,"Pinocchio Simon",1
148,"Eleanor","Hunt",9023,"Opposite Necklace",2
148,"Eleanor","Hunt",9106,"Others Soup",1
148,"Eleanor","Hunt",9530,"Graffiti Love",2
148,"Eleanor","Hunt",9594,"War Notting",2
148,"Eleanor","Hunt",10067,"Hollow Jeopardy",2
148,"Eleanor","Hunt",10830,"Trap Guys",1
148,"Eleanor","Hunt",11357,"Minds Truman",2
148,"Eleanor","Hunt",12029,"Scissorhands Slums",2
148,"Eleanor","Hunt",12038,"Spirited Casualties",1
148,"Eleanor","Hunt",12512,"Sun Confessions",1
148,"Eleanor","Hunt",12944,"Outlaw Hanky",2
148,"Eleanor","Hunt",12983,"Boulevard Mob",1
148,"Eleanor","Hunt",14055,"Gables Metropolis",1
148,"Eleanor","Hunt",14155,"Coma Head",2
148,"Eleanor","Hunt",14184,"South Wait",1
148,"Eleanor","Hunt",14629,"Color Philadelphia",1
148,"Eleanor","Hunt",14713,"Robbery Bright",1
148,"Eleanor","Hunt",14879,"Interview Liaisons",2
148,"Eleanor","Hunt",14965,"Dinosaur Secretary",2
148,"Eleanor","Hunt",15237,"Wizard Coldblooded",1
148,"Eleanor","Hunt",15379,"Hellfighters Sierra",1
148,"Eleanor","Hunt",15541,"Mummy Creatures",2
148,"Eleanor","Hunt",15586,"Racer Egg",2
